sku;marca;capacidade_btu;ciclo;familia_linha_refinada;edicao;voltagem;sku_canonico;n_pricetrack
PAC18QI;PHILCO;18000;QUENTE/FRIO;PHILCO-ECO-INVERTER-18000-QF;Eco Inverter;220V;PAC18QA;3188
PAC24000IFM15;PHILCO;24000;FRIO;PHILCO-ECO-INVERTER-24000-F;Eco Inverter;220V;PAC24000IFM15;6451
PAC9000IFM15;PHILCO;9000;FRIO;PHILCO-ECO-INVERTER-9000-F;Eco Inverter;220V;PAC9FB;1564
PAC9000ITFM9W;PHILCO;9000;FRIO;PHILCO-ECO-INVERTER-9000-F;Eco Inverter;220V;PAC9FB;336
PAC9000TFM9;PHILCO;9000;FRIO;PHILCO-ECO-INVERTER-9000-F;Eco Inverter;220V;PAC9FB;4253
PAC9FB;PHILCO;9000;FRIO;PHILCO-ECO-INVERTER-9000-F;Eco Inverter;220V;PAC9FB;9180
PAC9FC;PHILCO;9000;FRIO;PHILCO-ECO-INVERTER-9000-F;Eco Inverter;220V;PAC9FB;5815
PAC9FI;PHILCO;9000;FRIO;PHILCO-ECO-INVERTER-9000-F;Eco Inverter;220V;PAC9FB;4338
PAC9000IQFM15E;PHILCO;9000;QUENTE/FRIO;PHILCO-ECO-INVERTER-9000-QF;Eco Inverter;220V;PAC9000IQFM15E;1483
PAC9000TQFM12;PHILCO;9000;QUENTE/FRIO;PHILCO-ECO-INVERTER-9000-QF;Eco Inverter;220V;PAC9000IQFM15E;394
AR12CVHZAWKN/AZ;SAMSUNG;12000;FRIO;SAMSUNG-DIGITAL-INVERTER-ULTRA-12000-F;Digital Inverter Ultra;220V;AR12CVHZAWKN/AZ;1964
AR24BVHZCWKN/AZ;SAMSUNG;22000;FRIO;SAMSUNG-DIGITAL-INVERTER-ULTRA-22000-F;Digital Inverter Ultra;220V;AR24BVHZCWKN/AZ;1215
AR09DYFZAWK/AZ;SAMSUNG;9000;FRIO;SAMSUNG-DIGITAL-INVERTER-ULTRA-9000-F;Digital Inverter Ultra;220V;AR09DYFZAWK/AZ;1086
AR12DYFAAWK/AZ;SAMSUNG;12000;FRIO;SAMSUNG-WINDFREE-AI-12000-F;WindFree AI;220V;AR12DYFAAWK/AZ;6504
AR12DYFAVWKNAZ;SAMSUNG;12000;FRIO;SAMSUNG-WINDFREE-AI-12000-F;WindFree AI;BI;AR12DYFAVWKNAZ;1188
F-AR12DYFABWK;SAMSUNG;12000;FRIO;SAMSUNG-WINDFREE-AI-12000-F;WindFree AI;220V;AR12DYFAAWK/AZ;1503
AR12BSEAAWK/AZ;SAMSUNG;12000;QUENTE/FRIO;SAMSUNG-WINDFREE-AI-12000-QF;WindFree AI;220V;AR12BSEAAWK/AZ;217
AR18CVFAAWK/AZ;SAMSUNG;18000;FRIO;SAMSUNG-WINDFREE-AI-18000-F;WindFree AI;220V;AR18DYFAAWK/AZ;4430
AR18DYFAAWK/AZ;SAMSUNG;18000;FRIO;SAMSUNG-WINDFREE-AI-18000-F;WindFree AI;220V;AR18DYFAAWK/AZ;4983
AR60F18D1AWNAZ;SAMSUNG;18000;FRIO;SAMSUNG-WINDFREE-AI-18000-F;WindFree AI;220V;AR18DYFAAWK/AZ;214
F-AR60F18D1AW;SAMSUNG;18000;FRIO;SAMSUNG-WINDFREE-AI-18000-F;WindFree AI;;AR18DYFAAWK/AZ;2427
F-AR18DXFAAWK;SAMSUNG;18000;QUENTE/FRIO;SAMSUNG-WINDFREE-AI-18000-QF;WindFree AI;220V;F-AR18DXFAAWK;2386
AR24DYFABWKNAZ;SAMSUNG;24000;FRIO;SAMSUNG-WINDFREE-AI-24000-F;WindFree AI;220V;AR24DYFABWKNAZ;2943
AR60F24D1AWN/AZ;SAMSUNG;24000;FRIO;SAMSUNG-WINDFREE-AI-24000-F;WindFree AI;220V;AR24DYFABWKNAZ;92
AR24TSHCBWKN/AZ;SAMSUNG;24000;QUENTE/FRIO;SAMSUNG-WINDFREE-AI-24000-QF;WindFree AI;220V;F-AR24DXFAAWK;83
F-AR24DXFAAWK;SAMSUNG;24000;QUENTE/FRIO;SAMSUNG-WINDFREE-AI-24000-QF;WindFree AI;220V;F-AR24DXFAAWK;2171
AR09DYFAAWKNAZ;SAMSUNG;9000;FRIO;SAMSUNG-WINDFREE-AI-9000-F;WindFree AI;220V;AR09DYFAAWKNAZ;2846
AR12CSECABT/AZ;SAMSUNG;12000;QUENTE/FRIO;SAMSUNG-WINDFREE-AI-BLACK-12000-QF;WindFree AI Black;220V;AR12CSECABT/AZ;1724
AR18CSECABT/AZ;SAMSUNG;18000;QUENTE/FRIO;SAMSUNG-WINDFREE-AI-BLACK-18000-QF;WindFree AI Black;220V;AR18CSECABT/AZ;3732
AR24CSECABT/AZ;SAMSUNG;24000;QUENTE/FRIO;SAMSUNG-WINDFREE-AI-BLACK-24000-QF;WindFree AI Black;220V;AR24CSECABT/AZ;3168
AR12DXFAAWKNAZ;SAMSUNG;12000;QUENTE/FRIO;SAMSUNG-WINDFREE-AI-PRO-12000-QF;WindFree AI Pro;220V;AR12DXFAAWKNAZ;813
AR12CVFAMWK/AZ;SAMSUNG;12000;FRIO;SAMSUNG-WINDFREE-CONNECT-AI-12000-F;WindFree Connect AI;220V;AR12CVFAMWK/AZ;1445
AR18DYFABWKNAZ;SAMSUNG;18000;FRIO;SAMSUNG-WINDFREE-CONNECT-AI-18000-F;WindFree Connect AI;220V;AR18DYFABWKNAZ;1213
AR18BSEAAWK/AZ;SAMSUNG;18000;QUENTE/FRIO;SAMSUNG-WINDFREE-CONNECT-AI-18000-QF;WindFree Connect AI;220V;AR18BSEAAWK/AZ;2004
AR24BVFAAWK/AZ;SAMSUNG;22000;FRIO;SAMSUNG-WINDFREE-CONNECT-AI-22000-F;WindFree Connect AI;220V;AR24BVFAAWK/AZ;2518
AR24BSEAAWK/AZ;SAMSUNG;22000;QUENTE/FRIO;SAMSUNG-WINDFREE-CONNECT-AI-22000-QF;WindFree Connect AI;220V;AR24BSEAAWK/AZ;758
AR09CVFAMWK/AZ;SAMSUNG;9000;FRIO;SAMSUNG-WINDFREE-CONNECT-AI-9000-F;WindFree Connect AI;220V;AR09CVFAMWK/AZ;980
TAC-18CSA2-INV;TCL;18000;FRIO;;;220V;TAC-18CSA2-INV;143
TAC-22CSA2;TCL;22000;FRIO;TCL-ELITE-22000-F;Elite;220V;TAC-22CSA2;3948
TAC12CSG;TCL;12000;FRIO;TCL-ELITE-GV-12000-F;Elite GV;220V;TAC12CSG;2841
TAC-12CGV-INV;TCL;12000;FRIO;TCL-ELITE-GV-12000-F;Elite GV;220V;TAC12CSG;1465
TAC-09CSGV-INV;TCL;9000;FRIO;TCL-ELITE-GV-9000-F;Elite GV;220V;TAC-09CSGV-INV;2702
TAC-12CFG3W-INV;TCL;12000;FRIO;TCL-FRESHIN-3-0-12000-F;FreshIN 3.0;220V;TAC-12CFG3W-INV;225
TAC-18CFG3W-INV;TCL;18000;FRIO;TCL-FRESHIN-3-0-18000-F;FreshIN 3.0;220V;TAC-18CFG3W-INV;343
TAC-18CFG3B-INV;TCL;18000;FRIO;TCL-FRESHIN-3-0-BLACK-18000-F;FreshIN 3.0 Black;220V;TAC-18CFG3B-INV;298
TAC-12CSA1;TCL;12000;FRIO;TCL-SERIE-A1-12000-F;Serie A1;220V;TAC-12CSA1;7015
TAC-18CSA1;TCL;18000;FRIO;TCL-SERIE-A1-18000-F;Serie A1;220V;TAC-18CSA1;3777
TAC-09CTG1;TCL;9000;FRIO;TCL-SERIE-A1-9000-F;Serie A1;220V;TAC-09CSA1;892
TAC-09CSA1;TCL;9000;FRIO;TCL-SERIE-A1-9000-F;Serie A1;220V;TAC-09CSA1;5141
TAC-09CSA2;TCL;9000;FRIO;TCL-SERIE-A1-9000-F;Serie A1;110V;TAC-09CSA2;774
TAC-12CTG2-INV;TCL;12000;FRIO;TCL-T-PRO-2-0-12000-F;T-Pro 2.0;220V;TAC-12CTG2-INV;2408
TAC-12CHTG2;TCL;12000;QUENTE/FRIO;TCL-T-PRO-2-0-12000-QF;T-Pro 2.0;220V;TAC-12CHTG2;2966
TAC-18CTG2-INV;TCL;18000;FRIO;TCL-T-PRO-2-0-18000-F;T-Pro 2.0;220V;TAC-18CTG2-INV;4673
TAC-18CHTG2;TCL;18000;QUENTE/FRIO;TCL-T-PRO-2-0-18000-QF;T-Pro 2.0;220V;TAC-18CHTG2;5173
TAC-24CTG2-INV;TCL;24000;FRIO;TCL-T-PRO-2-0-24000-F;T-Pro 2.0;220V;TAC-24CTG2-INV;5242
TAC-24CHTG1;TCL;24000;QUENTE/FRIO;TCL-T-PRO-2-0-24000-QF;T-Pro 2.0;220V;TAC-24CHTG2;1684
TAC-24CHTG2;TCL;24000;QUENTE/FRIO;TCL-T-PRO-2-0-24000-QF;T-Pro 2.0;220V;TAC-24CHTG2;3732
TAC-24CTG1;TCL;24000;QUENTE/FRIO;TCL-T-PRO-2-0-24000-QF;T-Pro 2.0;;TAC-24CHTG2;238
TAC-09CTG2-INV;TCL;9000;FRIO;TCL-T-PRO-2-0-9000-F;T-Pro 2.0;220V;TAC-09CTG2-INV;6679
TAC-09CHTG2;TCL;9000;QUENTE/FRIO;TCL-T-PRO-2-0-9000-QF;T-Pro 2.0;220V;TAC-09CHTG2;7642
